KO	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	Fxn
K14067	190	218	232	122	225	129	56	77	46	69	55	33	264	298	420	420	263	315	6	95	213	712	299	194	malate-CoA ligase subunit beta [EC:6.2.1.9]
K14071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	leucokinin receptor
K14072	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	neuropeptide Y receptor
K14073	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	pancreatic triacylglycerol lipase [EC:3.1.1.3]
K14075	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	pancreatic lipase-related protein 2 [EC:3.1.1.3]
K14077	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	two pore calcium channel protein 2
K14078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	"solute carrier family 26 (chloride anion exchanger), member 3"
K14079	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	poly(A) RNA polymerase GLD2 [EC:2.7.7.19]
K14080	146	41	53	111	69	203	554	705	500	460	514	400	97	99	45	48	42	20	3	42	94	104	67	55	[methyl-Co(III) methanol-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.246]
K14081	7	1	1	7	3	11	31	32	25	12	25	21	16	23	9	6	13	2	0	0	7	19	8	5	methanol corrinoid protein
K14082	0	0	0	0	0	0	4	7	2	7	3	1	30	31	11	12	12	12	0	4	17	21	12	8	[methyl-Co(III) methylamine-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.247]
K14083	4215	3139	3199	2352	2167	2057	6615	7917	7622	6639	7345	4338	3581	3257	3738	3798	2347	2083	121	1930	3170	6723	2794	2429	trimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.250]
K14084	88	13	27	31	14	32	363	420	385	307	313	164	75	72	64	67	51	29	2	41	68	64	42	17	trimethylamine corrinoid protein
K14085	7	18	12	6	8	10	6	6	10	3	5	3	0	0	3	1	3	0	1	3	5	5	1	4	aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3]
K14086	22	4	10	26	6	49	57	85	83	59	76	49	21	42	29	37	12	0	0	5	23	23	28	24	ech hydrogenase subunit A
K14087	8	1	2	13	3	27	35	40	45	32	45	22	14	17	16	23	14	0	1	2	16	15	16	9	ech hydrogenase subunit B
K14088	8	8	5	22	9	40	38	66	52	48	59	28	22	13	22	21	20	12	0	21	23	29	19	13	ech hydrogenase subunit C
K14089	4	2	1	7	3	15	25	31	22	13	17	13	5	9	8	10	1	3	1	0	2	9	12	1	ech hydrogenase subunit D
K14090	7	2	4	18	11	48	43	43	70	36	49	42	11	25	24	22	13	3	0	4	19	20	32	12	ech hydrogenase subunit E
K14091	1	0	0	3	3	14	19	25	17	13	18	5	8	10	10	6	4	0	11	0	7	6	15	7	ech hydrogenase subunit F
K14093	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	energy-converting hydrogenase A subunit B
K14094	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	energy-converting hydrogenase A subunit C
K14095	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	energy-converting hydrogenase A subunit D
K14097	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	energy-converting hydrogenase A subunit F
K14098	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	2	0	0	energy-converting hydrogenase A subunit G
K14099	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	energy-converting hydrogenase A subunit H
K14101	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	energy-converting hydrogenase A subunit J
K14104	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	energy-converting hydrogenase A subunit M
K14105	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	energy-converting hydrogenase A subunit N
K14106	0	0	0	2	0	0	2	3	3	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	energy-converting hydrogenase A subunit O
K14107	3	0	0	1	0	0	5	7	4	1	2	1	8	14	0	1	0	1	3	1	5	3	0	1	energy-converting hydrogenase A subunit P
K14108	1	0	0	0	0	7	1	5	2	1	2	0	6	1	1	0	2	15	0	1	1	3	0	6	energy-converting hydrogenase A subunit Q
K14109	0	0	0	10	0	5	8	32	32	33	27	49	0	2	0	0	0	0	0	5	3	1	0	1	energy-converting hydrogenase A subunit R
K14110	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	energy-converting hydrogenase B subunit A
K14112	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	energy-converting hydrogenase B subunit C
K14114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	energy-converting hydrogenase B subunit E
K14115	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	1	0	0	0	0	0	energy-converting hydrogenase B subunit F
K14118	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	energy-converting hydrogenase B subunit I
K14120	0	0	0	1	0	2	7	8	8	9	18	7	3	0	0	3	0	0	0	6	0	4	1	1	energy-converting hydrogenase B subunit K
K14122	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	energy-converting hydrogenase B subunit M
K14123	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	energy-converting hydrogenase B subunit N
K14124	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	energy-converting hydrogenase B subunit O
K14126	243	66	142	318	103	235	660	806	823	709	738	529	62	64	85	84	46	18	9	207	216	196	156	136	F420-non-reducing hydrogenase large subunit [EC:1.12.99.-]
K14127	174	16	56	192	47	175	464	632	667	648	663	428	41	35	76	70	30	39	26	111	142	164	161	54	F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.12.99.-]
K14128	204	34	92	177	80	170	405	490	543	514	519	344	35	32	72	67	29	6	14	141	135	153	110	70	F420-non-reducing hydrogenase small subunit [EC:1.12.99.-]
K14136	111	83	94	82	100	86	72	96	76	82	76	48	19	13	29	14	20	11	0	27	40	120	34	43	decaprenyl-phosphate phosphoribosyltransferase [EC:2.4.2.45]
K14137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	protein prenyltransferase alpha subunit repeat containing protein 1
K14138	315	80	158	514	177	427	1188	1414	1455	1320	1514	1182	75	54	117	84	101	24	3	208	277	276	211	183	acetyl-CoA synthase [EC:2.3.1.169]
K14152	238	213	272	126	215	180	199	188	271	261	214	122	39	24	138	81	84	20	15	20	169	138	168	35	phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase / histidinol dehydrogenase [EC:3.6.1.31 3.5.4.19 1.1.1.23]
K14153	194	118	146	80	182	188	184	182	262	219	148	142	48	68	90	84	70	45	0	39	91	177	62	55	hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase / thiamine-phosphate diphosphorylase [EC:2.7.1.49 2.7.4.7 2.5.1.3]
K14154	4	2	1	3	3	3	3	0	2	2	1	1	9	7	5	9	4	4	1	4	1	8	10	2	thiamine-phosphate diphosphorylase / hydroxyethylthiazole kinase [EC:2.5.1.3 2.7.1.50]
K14155	1207	754	628	623	605	813	862	1149	1032	991	988	861	2048	1889	1861	1949	1074	939	47	498	1286	2659	1483	1167	cystathione beta-lyase [EC:4.4.1.8]
K14156	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	3	choline/ethanolamine kinase [EC:2.7.1.32 2.7.1.82]
K14157	114	146	135	140	153	267	333	362	490	378	379	199	56	15	55	40	76	32	2	81	124	139	103	64	alpha-aminoadipic semialdehyde synthase [EC:1.5.1.8 1.5.1.9]
K14158	2	2	0	4	1	0	0	1	2	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	"solute carrier family 5 (sodium/glucose cotransporter), member 1"
K14159	0	4	1	1	2	0	2	2	4	0	0	0	0	2	6	0	1	0	0	1	0	3	0	0	ribonuclease HI / DNA polymerase III subunit epsilon [EC:3.1.26.4 2.7.7.7]
K14160	357	309	317	176	347	229	195	298	206	193	163	185	537	440	746	718	413	510	36	100	290	1110	451	273	protein ImuA
K14161	1274	1204	1091	776	1245	966	524	807	631	532	511	503	893	948	1488	1330	917	778	100	289	855	2247	1024	650	protein ImuB
K14162	4600	4209	4086	3336	4080	3328	2683	3370	3197	3150	3164	2510	2341	2077	3206	3318	2128	1850	194	926	2446	5041	2908	1870	error-prone DNA polymerase [EC:2.7.7.7]
K14163	1	4	4	2	0	6	4	6	4	5	9	1	12	3	3	3	3	0	0	3	8	11	11	5	bifunctional glutamyl/prolyl-tRNA synthetase [EC:6.1.1.17 6.1.1.15]
K14164	426	388	323	203	233	265	302	394	404	328	378	240	7	10	27	25	22	3	1	50	28	34	6	15	glycyl-tRNA synthetase [EC:6.1.1.14]
K14165	96	179	82	103	106	81	59	57	57	69	55	50	44	70	83	76	57	93	39	605	88	159	43	52	atypical dual specificity phosphatase [EC:3.1.3.16 3.1.3.48]
K14166	451	369	255	195	223	224	43	115	68	51	74	38	40	25	74	105	89	48	38	19	84	290	76	60	copper transport protein
K14168	1	1	3	3	0	1	5	6	7	2	4	3	1	9	0	1	4	0	1	0	2	4	1	1	cytoplasmic tRNA 2-thiolation protein 1 [EC:2.7.7.-]
K14169	0	1	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	cytoplasmic tRNA 2-thiolation protein 2
K14170	1247	1098	1072	1007	1139	1341	1405	1585	1602	1475	1316	1286	1652	1601	1449	1421	1081	740	23	339	1172	1456	1290	628	chorismate mutase / prephenate dehydratase [EC:5.4.99.5 4.2.1.51]
K14171	1	1	1	0	0	9	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	alkyl hydroperoxide reductase 1 [EC:1.11.1.15]
K14172	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	light-harvesting complex II chlorophyll a/b binding protein 7
K14180	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	aristolochene synthase [EC:4.2.3.9]
K14187	408	300	293	222	210	208	354	458	492	411	395	495	857	823	578	695	542	439	0	125	507	589	587	248	chorismate mutase / prephenate dehydrogenase [EC:5.4.99.5 1.3.1.12]
K14188	7	36	12	6	18	8	10	7	4	9	11	5	4	6	0	2	4	7	0	2	3	5	3	0	D-alanine--poly(phosphoribitol) ligase subunit 2 [EC:6.1.1.13]
K14189	104	108	91	131	119	167	43	116	66	73	63	195	30	37	92	69	15	54	3	14	86	115	58	71	uncharacterized oxidoreductase [EC:1.-.-.-]
K14190	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	4	0	0	GDP-L-galactose phosphorylase [EC:2.7.7.69]
K14191	3	2	6	7	3	0	5	1	5	3	7	1	0	1	3	0	0	1	2	9	0	8	0	1	18S rRNA (adenine1779-N6/adenine1780-N6)-dimethyltransferase [EC:2.1.1.183]
K14192	4	19	7	26	6	3	77	58	45	47	51	21	5	4	11	9	3	5	19	132	4	23	4	4	clumping factor B
K14194	34	51	41	49	40	42	127	118	96	78	108	74	11	8	25	9	12	11	23	39	20	34	25	8	serine-aspartate repeat-containing protein C/D/E
K14195	6	4	14	19	6	3	46	49	40	20	59	26	1	0	2	5	9	7	0	48	10	2	5	5	surface protein G
K14196	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	immunoglobulin G-binding protein A
K14201	14	12	10	15	2	2	79	35	39	20	39	12	11	19	12	13	21	30	21	38	25	13	10	6	clumping factor A
K14205	361	448	504	1035	1156	1588	113	437	309	422	346	990	274	308	197	251	226	206	6	34	181	321	172	77	phosphatidylglycerol lysyltransferase [EC:2.3.2.3]
K14206	0	3	6	2	3	2	2	3	1	0	2	0	0	1	0	0	1	0	0	1	1	0	0	0	"solute carrier family 15 (oligopeptide transporter), member 1"
K14207	0	3	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	"solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 2"
K14208	0	0	0	1	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	Xaa-Pro aminopeptidase 2 [EC:3.4.11.9]
K14209	12	5	5	1	1	2	9	5	2	3	9	3	0	0	0	1	1	0	0	1	5	6	4	2	solute carrier family 36 (proton-coupled amino acid transporter)
K14210	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"solute carrier family 3 (neutral and basic amino acid transporter), member 1"
K14211	1	1	0	1	3	0	0	5	4	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	elastin
K14213	33	7	17	17	21	24	6	51	14	60	19	298	488	476	221	419	230	203	1	32	213	186	219	84	Xaa-Pro dipeptidase [EC:3.4.13.9]
K14215	0	2	2	5	4	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	"trans,polycis-decaprenyl diphosphate synthase [EC:2.5.1.86]"
K14244	1	2	2	4	3	1	0	2	1	1	2	0	1	0	0	0	0	0	0	0	1	0	1	0	amidotransferase [EC:6.3.5.-]
K14249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	bifunctional cyclase/aromatase [EC:4.2.1.-]
K14250	1	7	7	11	4	4	13	3	2	8	4	4	1	0	0	0	1	2	0	3	8	3	0	2	cyclase
K14251	0	0	2	3	7	3	1	1	0	0	5	1	2	0	0	1	0	0	0	0	0	0	0	3	C-methyltransferase [EC:2.1.1.-]
K14252	28	63	61	19	37	18	2	5	5	2	6	11	0	1	0	0	2	0	0	0	1	1	2	0	NADPH-dependent dioxygenase [EC:1.14.-.-]
K14253	1	0	3	3	4	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	monooxygenase [EC:1.14.-.-]
K14254	2	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	aminotransferase
K14255	1	0	0	0	1	1	1	2	2	2	2	3	1	1	4	1	0	0	0	1	1	2	6	2	"N,N-dimethyltransferase [EC:2.1.1.-]"
K14256	0	3	1	0	0	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	anhydrotetracycline monooxygenase [EC:1.14.13.38]
K14257	211	310	243	156	239	187	55	91	57	98	53	329	253	370	199	214	226	218	19	86	245	256	166	99	FADH2 O2-dependent halogenase [EC:1.14.14.-]
K14258	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	6	0	0	facilitated trehalose transporter
K14259	368	428	306	191	264	221	82	151	120	185	112	302	47	36	99	37	101	56	1	225	115	179	74	63	2-dehydro-3-deoxy-D-arabinonate dehydratase [EC:4.2.1.141]
K14260	531	401	372	351	368	534	356	433	392	297	334	227	577	619	483	528	393	309	4	133	403	530	558	263	alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2]
K14261	857	917	885	781	1088	991	680	960	833	888	927	882	339	237	362	289	300	148	6	195	488	656	446	277	alanine-synthesizing transaminase [EC:2.6.1.-]
K14262	2	4	2	5	4	4	0	0	0	3	2	3	0	0	0	0	0	0	24	2	3	1	0	4	di- and tripeptidase [EC:3.4.-.-]
K14264	0	0	1	3	2	7	3	1	0	1	1	1	0	0	1	0	0	0	0	1	0	1	5	1	kynurenine aminotransferase [EC:2.6.1.7]
K14266	1327	1145	1219	564	932	577	729	821	633	583	630	245	961	1185	745	1154	542	653	24	124	373	621	678	190	tryptophan halogenase [EC:1.14.19.9]
K14267	739	773	715	571	738	825	361	460	342	360	375	344	857	701	776	685	524	484	20	156	374	768	640	283	N-succinyldiaminopimelate aminotransferase [EC:2.6.1.17]
K14268	5	8	3	2	4	8	4	2	0	2	0	1	0	0	0	0	0	0	0	0	1	3	0	0	5-aminovalerate/4-aminobutyrate aminotransferase [EC:2.6.1.48 2.6.1.19]
K14270	1	6	0	1	0	1	3	2	0	4	2	1	32	21	46	27	18	2	0	9	11	30	17	20	aminotransferase
K14272	5	14	3	8	7	3	33	26	32	32	27	10	0	0	0	0	1	0	0	3	1	18	0	3	glutamate--glyoxylate aminotransferase [EC:2.6.1.4 2.6.1.2 2.6.1.44]
K14273	6	9	12	3	8	4	5	23	91	186	25	260	136	82	292	67	211	192	4	648	225	306	99	69	xylose dehydrogenase (NAD/NADP)
K14274	28	27	32	43	31	46	34	55	58	102	53	133	42	20	43	29	37	3	1	79	56	42	31	21	D-xylonolactonase
K14275	14	20	13	10	24	18	10	15	37	90	11	49	22	12	23	11	25	12	0	133	38	25	12	11	D-xylonate dehydratase
K14284	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	nuclear RNA export factor
K14286	129	133	88	78	79	50	125	130	136	86	135	68	10	6	11	11	8	4	13	11	15	28	8	12	ethanolamine-phosphate phospho-lyase [EC:4.2.3.2]
K14287	637	467	390	298	355	364	502	653	664	567	580	409	616	866	675	903	500	384	14	82	358	606	679	305	methionine aminotransferase [EC:2.6.1.-]
K14288	1	1	1	0	1	3	0	6	0	1	2	1	0	0	0	0	0	0	0	0	0	5	0	0	exportin-T
K14289	4	2	4	3	3	2	5	3	1	2	4	3	0	0	0	0	0	0	0	0	1	2	0	0	exportin-5
K14290	3	3	10	8	1	5	6	3	0	9	6	3	0	0	1	0	3	0	0	11	6	29	3	11	exportin-1
K14291	8	3	6	0	2	8	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	phosphorylated adapter RNA export protein
K14292	7	7	16	6	12	2	1	6	1	2	5	4	0	0	2	1	1	1	13	2	3	4	4	1	trimethylguanosine synthase [EC:2.1.1.-]
K14293	3	7	3	7	1	2	3	2	2	2	4	5	0	0	2	0	3	1	0	3	8	27	1	5	importin subunit beta-1
K14294	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	partner of Y14 and mago
K14295	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nuclear pore complex protein Nup50
K14296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	nuclear pore complex protein Nup153
K14297	1	2	3	26	6	8	3	6	4	5	4	4	1	0	2	1	0	0	16	1	2	9	1	1	nuclear pore complex protein Nup98-Nup96
K14298	1	1	3	1	3	3	3	4	1	0	6	0	0	0	0	0	1	0	3	2	2	11	2	5	mRNA export factor
K14299	3	1	1	1	1	1	0	2	0	1	1	1	0	0	0	0	0	0	0	0	2	2	2	0	nucleoporin SEH1
K14300	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nuclear pore complex protein Nup133
K14301	1	3	3	0	0	2	1	3	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	nuclear pore complex protein Nup107
K14303	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nuclear pore complex protein Nup160
K14304	1	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	nuclear pore complex protein Nup85
K14305	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	2	0	0	nuclear pore complex protein Nup43
K14306	2	1	0	0	0	0	0	0	0	1	3	0	1	0	0	2	2	3	0	1	12	2	0	4	nuclear pore complex protein Nup62
K14307	0	1	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nucleoporin p58/p45
K14308	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nuclear pore complex protein Nup54
K14309	2	2	1	2	2	2	2	0	0	4	1	0	0	0	0	0	0	1	0	0	1	6	0	0	nuclear pore complex protein Nup93
K14310	1	5	6	7	3	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	nuclear pore complex protein Nup205
K14311	0	2	1	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	nuclear pore complex protein Nup188
K14312	5	2	5	6	1	2	3	4	2	4	6	5	0	0	0	0	2	0	1	0	4	4	2	1	nuclear pore complex protein Nup155
K14313	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nuclear pore complex protein Nup53
K14314	0	1	1	2	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	nuclear pore complex protein Nup210
K14315	1	1	0	13	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	nucleoporin NDC1
K14317	2	2	0	1	0	0	0	0	2	0	2	0	2	0	2	3	1	0	1	0	0	0	0	0	nuclear pore complex protein Nup214
K14318	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nuclear pore complex protein Nup88
K14319	1	2	0	0	1	1	1	0	0	0	4	3	0	1	0	0	0	0	0	5	1	9	2	11	Ran GTPase-activating protein 1
K14321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	nucleoporin-like protein 2
K14322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	polyadenylate-binding protein-interacting protein 1
K14323	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	protein CASC3
K14324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	histone deacetylase complex subunit SAP18
K14325	2	2	2	1	4	2	5	5	0	3	1	0	0	4	8	0	6	0	35	0	3	5	9	2	RNA-binding protein with serine-rich domain 1
K14326	10	13	9	8	10	5	7	5	7	9	7	6	3	13	11	6	6	12	18	11	23	35	14	10	regulator of nonsense transcripts 1 [EC:3.6.4.-]
K14327	10	7	7	4	1	3	6	5	4	8	6	5	1	0	1	1	1	1	22	13	2	9	3	2	regulator of nonsense transcripts 2
K14328	0	1	0	0	0	0	0	4	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	regulator of nonsense transcripts 3
K14330	7	2	9	2	3	4	0	3	2	2	2	2	0	0	1	0	0	0	0	1	2	2	2	0	fatty aldehyde-generating acyl-ACP reductase [EC:1.2.1.80]
K14331	5	7	3	4	1	3	1	1	0	0	0	1	0	0	0	0	0	0	0	2	2	3	2	0	fatty aldehyde decarbonylase [EC:4.1.99.5]
K14332	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	photosystem I subunit PsaO
K14333	257	513	399	327	507	340	54	104	113	203	83	257	48	48	102	85	81	55	6	51	53	95	56	31	"2,3-dihydroxybenzoate decarboxylase [EC:4.1.1.46]"
K14335	86	77	77	78	131	137	23	60	37	34	36	106	255	193	223	171	150	82	11	35	177	189	128	63	"alpha-1,6-mannosyltransferase [EC:2.4.1.-]"
K14336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	23S rRNA (guanine748-N1)-methyltransferase [EC:2.1.1.188]
K14337	67	36	22	18	33	32	1	12	0	7	4	2	0	1	0	0	1	0	0	1	1	4	0	0	"alpha-1,6-mannosyltransferase [EC:2.4.1.-]"
K14338	98	79	54	34	35	18	8	19	15	29	23	18	13	11	7	7	10	0	14	16	27	37	5	10	cytochrome P450 / NADPH-cytochrome P450 reductase [EC:1.14.14.1 1.6.2.4]
K14339	1	11	2	17	8	27	2	10	0	3	4	4	0	0	0	0	1	0	0	0	1	5	0	1	"alpha-1,6-mannosyltransferase [EC:2.4.1.-]"
K14340	19	39	22	37	38	37	12	12	11	8	16	10	2	0	1	0	5	0	5	5	1	11	1	4	mannosyltransferase [EC:2.4.1.-]
K14342	2	0	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	2	0	0	"solute carrier family 10 (sodium/bile acid cotransporter), member 2"
K14343	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	"solute carrier family 10 (sodium/bile acid cotransporter), member 3/5"
K14347	193	117	121	92	98	113	197	229	245	276	287	246	245	197	166	125	112	134	6	88	236	305	243	113	"solute carrier family 10 (sodium/bile acid cotransporter), member 7"
K14348	11	18	18	12	12	11	14	14	15	8	14	12	19	14	5	17	9	1	1	9	4	31	5	7	"GntR family transcriptional regulator, L-lactate dehydrogenase operon regulator"
K14349	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	neutral cholesterol ester hydrolase 1 [EC:3.1.1.-]
K14353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"solute carrier organic anion transporter family, member 3A"
K14354	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	"solute carrier organic anion transporter family, member 4A"
K14355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"solute carrier organic anion transporter family, member 4C"
K14356	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"solute carrier organic anion transporter family, member 5A"
K14358	45	72	60	69	48	68	60	73	74	67	81	51	6	12	10	23	9	0	5	8	18	23	10	7	secernin
K14366	3	10	5	0	7	7	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	1	0	6-deoxyerythronolide B hydroxylase [EC:1.14.13.188]
K14367	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	erythronolide mycarosyltransferase [EC:2.4.1.328]
K14368	3	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3-alpha-mycarosylerythronolide B desosaminyl transferase [EC:2.4.1.278]
K14369	4	5	4	2	4	3	0	1	0	2	0	0	1	0	6	0	6	2	28	1	5	1	2	0	erythromycin 3''-O-methyltransferase [EC:2.1.1.254]
K14370	0	6	1	4	4	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	erythromycin 12 hydroxylase [EC:1.14.13.154]
K14371	12	19	12	6	8	85	4	4	7	1	3	2	0	0	0	0	0	0	0	1	0	3	0	3	type I polyketide synthase AVES
K14372	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	cytochrome P450 hydroxylase [EC:1.14.-.-]
K14373	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	C-5 ketoreductase
K14374	1	1	6	4	1	4	1	1	3	1	2	1	0	0	1	1	0	0	0	0	0	2	0	0	avermectin B 5-O-methyltransferase [EC:2.1.1.-]
